1a,4521 0000 5444 3133 3122 2155
1b,2541 0000 3444 3133 5122 2155
1c,4251 0000 5444 3133 2122 3155
1d,2451 0000 3444 3133 2122 5155
1e,5421 0000 2444 3133 3122 5155
1f,5241 0000 2444 3133 5122 3155
2a,1234 0000 4344 1233 1522 1555
2b,1254 0000 2344 1433 1522 1355
2c,1324 0000 4344 1533 1222 1555
2d,1524 0000 2344 1533 1422 1355
2e,1534 0000 5344 1233 1422 1255
2f,1354 0000 5344 1433 1222 1255
3a,5223 0000 1144 4133 3522 1455
3b,3243 0000 1144 4133 5522 1255
3c,5353 0000 1144 4133 2222 1455
3d,3553 0000 1144 4133 2422 1255
3e,2523 0000 1144 4133 3422 1555
3f,2343 0000 1144 4133 5222 1555
4a,5113 0000 1144 4333 2222 5455
4b,3113 0000 1144 4533 4222 5255
4c,5113 0000 1144 4233 5322 2455
4d,3113 0000 1144 4233 5522 4255
4e,2113 0000 1144 4333 2522 4555
4f,2113 0000 1144 4533 4322 2555
5a,1514 0000 4344 1333 2122 2555
5b,1514 0000 2344 1533 4122 2355
5c,1214 0000 4344 1233 5122 3555
5d,1414 0000 2344 1233 5122 5355
5e,1414 0000 5344 1333 2122 5255
5f,1214 0000 5344 1533 4122 3255
6a,4114 0000 5344 1333 2222 5155
6b,2114 0000 3344 1533 4222 5155
6c,4114 0000 5344 1233 5322 2155
6d,2114 0000 3344 1233 5522 4155
6e,5114 0000 2344 1333 2522 4155
6f,5114 0000 2344 1533 4322 2155
7a,4224 0000 5344 1133 3522 1155
7b,2244 0000 3344 1133 5522 1155
7c,4354 0000 5344 1133 2222 1155
7d,2554 0000 3344 1133 2422 1155
7e,5524 0000 2344 1133 3422 1155
7f,5344 0000 2344 1133 5222 1155
8a,1111 0000 4444 3333 2222 5555
8b,1111 0000 2444 3533 4222 5355
8c,1111 0000 4444 3233 5322 2555
8d,1111 0000 2444 3233 5522 4355
8e,1111 0000 5444 3333 2522 4255
8f,1111 0000 5444 3533 4322 2255
9a,4521 0000 5434 3142 3123 2155
9b,2541 0000 3434 3142 5123 2155
9c,4251 0000 5434 3142 2123 3155
9d,2451 0000 3434 3142 2123 5155
9e,5421 0000 2434 3142 3123 5155
9f,5241 0000 2434 3142 5123 3155
10a,1234 0000 4334 1242 1523 1555
10b,1254 0000 2334 1442 1523 1355
10c,1324 0000 4334 1542 1223 1555
10d,1524 0000 2334 1542 1423 1355
10e,1534 0000 5334 1242 1423 1255
10f,1354 0000 5334 1442 1223 1255
11a,5223 0000 1134 4142 3523 1455
